id,title,views,likes,comments,category,category_title,Date,Time,duration,region_code
_sxBPYZ9CZQ,I Bought The Cheapest Cybertruck In the World!,395261,21533,2707,2,Autos & Vehicles,2024-07-06,21:28:00,31M,US
-OUVRcJMcfQ,Paradox Pokemon Battle Royale! 🌌 Collab with @Gnoggin,1460737,102997,5992,20,Gaming,2024-07-05,22:00:00,10MM4S,US
-U6oqhOzIKI,Danny Trejo tells his side of the story after Los Angeles 4th of July parade fight,523376,5934,3595,25,News & Politics,2024-07-06,00:12:20,T2M22S,US
0k2rMUrFqpM,HIGHLIGHTS | SOUTH AFRICA v IRELAND | July Internationals 2024 | First Test,507347,4739,792,17,Sports,2024-07-07,03:51:03,T6MM5S,US
0kr7DbntqoY,Kendrick Lamar - Not Like Us (Official Video) | FIRST REACTION,234346,13215,1470,10,Music,2024-07-06,22:01:39,23M40S,US
1KtgPqfsMH4,What if Napoleon Invaded Britain?,240877,20347,1430,27,Education,2024-07-06,18:08:31,22M14S,US
3SyTDcr-u0M,I Tested Viral Animal Carving Table Again!,191594,8966,960,26,Howto & Style,2024-07-07,11:12:00,24M45S,US
42SZ8h0B21A,"PRIMO (Video Oficial) - Tito Double P, Natanael Cano",1198338,52468,2347,22,People & Blogs,2024-07-06,00:00:06,T2M45S,US
8sWKUvjhl8E,I Built Deadly Traps To Trick My Friends,300848,10608,852,20,Gaming,2024-07-06,14:00:05,24M35S,US
A66Yt0wscns,Paradox Pokemon BATTLE ROYALE! 💥 Explained!  Feat. @TerminalMontage,485536,28078,1636,20,Gaming,2024-07-05,22:00:04,18M52S,US
CERF191ellk,Tropical Storm Beryl 9 a.m. update | Storm expected to make landfall Monday as Cat. 1 hurricane,235035,1728,286,25,News & Politics,2024-07-07,14:16:29,11M52S,US
clBUOHppbOo,FEEDING STARVING INFLUENCERS FT. EMERGENCY INTERCOM,437721,34668,1678,24,Entertainment,2024-07-06,19:29:43,48M57S,US
D-fNfJHpYPQ,Caitlin Clark becomes FIRST ROOKIE EVER to notch TRIPLE-DOUBLE vs. Liberty | Game Recap | CBS Sports,228330,3372,854,17,Sports,2024-07-06,20:35:12,10M,US
edFzKs_JqCU,Taking Her First Steps + First Lake Day + Paddle Boarding the River,286059,14814,693,24,Entertainment,2024-07-06,22:00:29,16M26S,US
eJoMuypbSzQ,"Sean Rii, Karyon, Sharzkii - Taungule [My Love] (Official Music Video)",144925,5013,638,10,Music,2024-06-28,04:00:07,T2M41S,US
glV8urrHP1E,Big Life Update :) | ASMR Whispering,398591,36826,5416,24,Entertainment,2024-07-06,22:00:21,36M58S,US
H58vbez_m4E,Kendrick Lamar - Not Like Us,32664081,3184087,217964,10,Music,2024-07-04,23:00:09,T5M55S,US
h5dwOIl7_vA,Giannis wins the battle against Luka as Greece 🇬🇷 move on | Highlights | FIBA OQT 2024 Greece,535336,4035,556,17,Sports,2024-07-06,16:51:48,T3MM4S,US
H890WvKmiJ4,I built a giant LEGO FARM...,357890,20554,2663,24,Entertainment,2024-07-06,14:00:06,12M13S,US
hIWzAYQx72w,Drag Queens Trixie Mattel & Katya React to A Family Affair | I Like To Watch | Netflix,460020,23117,976,24,Entertainment,2024-07-06,17:00:00,24M29S,US
hMBICD5rgY0,The Manta Ray: How America's Futuristic Underwater Drone will Change Warfare.,655329,21282,1662,22,People & Blogs,2024-07-06,20:00:09,18M30S,US
ho6Z62S2q9A,We Rebuilt a Village,2878382,262830,12445,24,Entertainment,2024-07-07,11:00:39,10M54S,US
iAb2UvWqOA4,KENDRICK LAMAR - NOT LIKE US VIDEO - REACTION,1509139,84890,4556,24,Entertainment,2024-07-05,17:07:08,18MM3S,US
IjsylSnNMyw,Skilla Baby - Misfits (Feat. Polo G) [Official Video],181473,10144,478,10,Music,2024-07-05,19:00:07,T3M53S,US
IRPQQWdKN2Q,WE'RE MOVING ON...,179463,13921,686,26,Howto & Style,2024-07-07,14:00:14,26M40S,US
JTIlLeEMksE,Here's the latest on Beryl as it heads toward the Texas coast,126422,1180,129,25,News & Politics,2024-07-07,03:57:20,T5M19S,US
Jy0DTu4BF6Q,"Saka SHOCKS The Squad, Kane's Pile-Driver! & Trent and Jude Battle It Out 🤣  ⛳️ | Inside Access",325545,6485,342,17,Sports,2024-07-07,16:22:32,16M31S,US
L1xqNvs2BDs,Despicable Mr. Puzzles,1157280,55810,9951,24,Entertainment,2024-07-06,16:00:15,16M42S,US
LRP9fsptFHI,I Adopted a Sister and Hid from my dad! Salish Matter,2004886,35939,3282,19,Travel & Events,2024-07-06,14:25:07,26M25S,US
m_a5xmlhiGU,Bailing Hay With A 20 Year Old John Deere 557 - Can We Beat The Rain?,220505,26066,824,24,Entertainment,2024-07-06,15:23:10,23M55S,US
NlwKIP755PQ,I Started My CFB 25 Road to Glory in High School,332913,9285,966,20,Gaming,2024-07-05,22:00:13,36M56S,US
Nq9PkH3UgEo,Official Trailer #4 | BLEACH: Thousand-Year Blood War Part 3 -- The Conflict | VIZ,1096907,77895,3461,1,Film & Animation,2024-07-07,01:01:00,T2M24S,US
O5Jeylmh5ws,I Found Axolotls in an Abandoned Pond!,791635,23941,4168,15,Pets & Animals,2024-07-06,12:00:03,23M33S,US
OdQrlp3uYQM,Solo Leveling Season 2 | OFFICIAL TEASER TRAILER,2681755,143040,5051,1,Film & Animation,2024-07-05,23:54:58,T1MM9S,US
ouBhzqQmheg,I Bought EVERY CROCS,1113474,40940,3166,26,Howto & Style,2024-07-06,14:30:30,29M59S,US
PTIAXsgsbWo,Nate Diaz DEFEATS Jorge Masvidal via MAJORITY DECISION | Fight Recap | CBS Sports,192122,868,197,17,Sports,2024-07-07,07:13:38,T8MM1S,US
r8JHZWv2XHU,NRL 2024 | Blues v Maroons | Match Highlights,338681,3791,763,17,Sports,2024-06-26,12:22:40,T5M,US
rSdj2jJY4p4,I Went Mining For 12 Hours & Made $____?,320375,20116,1621,22,People & Blogs,2024-07-06,20:00:55,56M34S,US
SUaOxp5U_yg,MrBeast’s 24 Hour Survival Challenge,1048260,51895,2295,22,People & Blogs,2024-07-06,00:00:23,32M38S,US
vn83a3H8FwM,Dropping A Couple Bombs: Things Are Changing Here At Fab Rats.,227272,22692,1854,2,Autos & Vehicles,2024-07-07,13:00:55,26M43S,US
vxGWLTBmA78,skibidi toilet 76 (part 1),11731492,732424,43127,24,Entertainment,2024-07-07,00:00:24,T3M10S,US
wT6Vf3PCx6Y,We Bought A Semi Truck - BIGTIME,1575659,167777,11852,2,Autos & Vehicles,2024-07-05,15:01:04,22M35S,US
xh2Cnk-e16U,I Killed Every Mob with the MACE in 1.21 Minecraft Hardcore!,835376,17578,1489,20,Gaming,2024-07-06,11:16:22,39M19S,US
XkkNfR_MDiM,Minecraft but I survive in PVP CIVILIZATION,1035939,32550,6184,20,Gaming,2024-07-06,14:19:05,30M33S,US
XOK1F9TLEH8,Natlan Preview Teaser - Need a Hand? | Genshin Impact #Natlan #Preview #Teaser #Genshin Impact,1324612,75224,8255,20,Gaming,2024-07-05,12:50:00,T1M16S,US
yNid8kN4seM,1 Shotting Elden Ring's DLC,595484,25623,728,20,Gaming,2024-07-06,20:52:01,42M14S,US
yPvoKz6tyJs,Race Highlights | 2024 British Grand Prix,3658778,116320,6391,17,Sports,2024-07-07,16:26:31,T8MM6S,US
Z9OuuSvWPKU,Shakur Stevenson Puts On A Clinic At Home | FIGHT HIGHLIGHTS,437945,4157,3668,17,Sports,2024-07-07,04:42:25,T2M11S,US
Zf1d8SGuxfs,Tommy Richman - MILLION DOLLAR BABY (Official Music Video),918157,48621,2921,10,Music,2024-07-05,22:00:06,T2M47S,US
ZsOHVtrecgo,ImDontai Reacts To Kendrick Lamar Not Like Us Music Video,1479928,79517,3407,22,People & Blogs,2024-07-04,23:50:02,21MM8S,US
